X,Y,OBJECTID,PROGRAM_NAME,DESCRIPTION,WEBSITE_URL,CITY,STATE,ACCESSIBILITY_SERVICES,ADULT_LITERACY,ART_THERAPY,ASSESSMENT,BORROW_MATERIALS,CASE_MANAGEMENT,CHILD_CARE,CLOTHING,COMPUTERS,DENTAL_SERVICES,DOCUMENTATION_ASSISTANCE,DOMESTIC_VIOLENCE_SERVICES,FOOD_GROCERIES,GROUPS,HAIRCUTS,HARM_REDUCTION,HIV_TESTING,HOUSING,HOUSING_NAVIGATION,INCOME_TAX_HELP,LAUNDRY,LIBRARY_CARD,LEGAL_SERVICES,MEDICAL_BENEFITS,MEDICAL_SERVICES,MAIL,MEALS,MENTAL_HEALTH,MINISTRY,PHONE,PUBLIC_RESTROOMS,REFRESHMENTS,SHOWERS,SNAP_FOOD_STAMPS,STORAGE,SUBSTANCE_ABUSE_TREATMENT,SUPPORTED_EMPLOYMENT,TANF_FINANCIAL_ASSISTANCE,TRANSPORTATION,VOCATIONAL_TRAINING,CLIENTS_SERVED_PER_DAY,TARGET,OPEN_TO_PUBLIC,HOURS_OF_OPERATION,RECORD_LAST_UPDATED,LATITUDE,LONGITUDE,LGBTQ_FOCUSED,PHONE_NUMBER,XCOORD,YCOORD,WARD,NAME,ADDRESS,ZIPCODE,MAR_ID,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-8574610.61916343,4718848.44161087,1,Shepherd Park Library,,https://www.dclibrary.org/node/10380,Washington,DC,,,,,Yes,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,Men & Women,Yes,,2017/09/12 04:00:00+00,38.98028088,-77.02703545,,,397657.48,145817.5,Ward 4,DC Public Library,7420 GEORGIA AVENUE NW,20012,253522,HomelessServicePt_1,{0FCDF887-B835-4FA2-832E-4E9B3B105E22},,,,
-8573844.89865364,4718011.58621256,2,Takoma Library,,https://www.dclibrary.org/node/10402,Washington,DC,,,,,Yes,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,Men & Women,Yes,,2017/09/12 04:00:00+00,38.97443675,-77.02015687,,,398253.34,145168.59,Ward 4,DC Public Library,416 CEDAR STREET NW,20012,251267,HomelessServicePt_2,{744FBE9D-A152-4D3E-BE6D-50786440474A},,,,
-8574613.42002621,4716934.45242759,3,Headquarters,,https://contemporaryservices.net/,Washington ,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Families,,,2017/09/12 04:00:00+00,38.96691392,-77.02706061,,,397654.86,144333.64,Ward 4,Contemporary Family Services,6323 GEORGIA AVENUE NW,20011,254165,HomelessServicePt_3,{688E4D52-CDAD-4EFC-B8B0-1287E72ED88D},,,,
-8580000.85155285,4716741.96497116,4,Chevy Chase Library,,https://www.dclibrary.org/node/10370,Washington,DC,,,,,Yes,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,Men & Women,Yes,,2017/09/12 04:00:00+00,38.96556949,-77.07545672,,,393460.61,144186.75,Ward 3,DC Public Library,5625 CONNECTICUT AVENUE NW,20015,263960,HomelessServicePt_4,{F3C46C98-7CE6-4F8F-AA36-78D317B93E55},,,,
-8571554.77213298,4715247.1675282,5,Lamond-Riggs Library,,https://www.dclibrary.org/node/10382,Washington,DC,,,,,Yes,,,,Yes,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,Yes,,Men & Women,Yes,,2017/09/12 04:00:00+00,38.95512813,-76.99958432,,,400036.03,143024.96,Ward 5,DC Public Library,5401 SOUTH DAKOTA AVENUE NE,20011,288645,HomelessServicePt_5,{8832067D-4FA8-49F1-A269-A1759CF7CF2F},,,,
-8575591.44149594,4714904.47791848,6,The Next Step Program (Admin Offices),,https://www.samaritanministry.org/program,Washington ,DC,,,,,,Yes,,Yes,Yes,,Yes,,,,,,,,Yes,,,,Yes,,,Yes,,,Yes,Yes,,,,Yes,,Yes,,Yes,,Yes,,Men & Women,Yes,,2017/09/12 04:00:00+00,38.95273418,-77.03584632,,,396892.85,142759.82,Ward 4,Samaritan Ministry of Greater Washington,1516 HAMILTON STREET NW,20011,255812,HomelessServicePt_6,{AA70EDB6-DF5D-49B6-AB3E-6479DC7F94E9},,,,
-8580577.47018028,4714708.6217415,7,Drop-In Center & Clinic,,https://friendshipplace.org/drop-in-and-clinic/,Washington ,DC,,,,,,Yes,,,Yes,,,,,,,,,,,,Yes,,,,Yes,,Yes,,,,,,Yes,,,,,,,,40,Men & Women,Yes,,2017/09/12 04:00:00+00,38.95136594,-77.08063657,,,393010.31,142610.41,Ward 3,Friendship Place,4713 WISCONSIN AVENUE NW,20016,274422,HomelessServicePt_7,{D20CC768-C51C-4085-A9CE-6E7680ECD977},,,,
-8580494.00106103,4714170.76727822,8,Tenley-Friendship Library,,https://www.dclibrary.org/node/10404,Washington,DC,,,,,Yes,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,Men & Women,Yes,,2017/09/12 04:00:00+00,38.94760839,-77.07988675,,,393074.94,142193.23,Ward 3,DC Public Library,4450 WISCONSIN AVENUE NW,20016,284921,HomelessServicePt_8,{32E74CEE-5BFC-4507-AE21-7F7251D7F278},,,,
-8578859.18838309,4713972.84770426,9,Cleveland Park Library,,https://www.dclibrary.org/node/10372,Washington,DC,,,,,Yes,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,Men & Women,Yes,,2017/09/12 04:00:00+00,38.94622563,-77.06520099,,,394347.88,142038.72,Ward 3,DC Public Library,4340 CONNECTICUT AVENUE NW,20008,223153,HomelessServicePt_9,{C5E6DB92-2537-4450-BADC-A0305A57CF99},,,,
-8574510.65136547,4713396.69696414,10,Petworth Library,,https://www.dclibrary.org/node/10396,Washington,DC,,,,,Yes,,,,Yes,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,Yes,,Men & Women,Yes,,2017/09/12 04:00:00+00,38.94220022,-77.02613743,,,397734.08,141590.17,Ward 4,DC Public Library,4200 KANSAS AVENUE NW,20011,295146,HomelessServicePt_10,{FDD3068F-F1D2-4995-9576-4642650B5D61},,,,
